,customer,gender,income,state,policy_type,customer_lifetime_value,vehicle_class,monthly_premium_auto,total_claim_amount
981,HC60268,M,40105.0,Oregon,Personal Auto,8346.02,Four-Door Car,104.0,878.41
982,SO18542,F,33409.0,Oregon,Personal Auto,8370.57,SUV,105.0,553.55
983,CN22369,M,18608.0,California,Special Auto,2538.63,Four-Door Car,71.0,340.8
984,WY17333,M,55385.0,California,Personal Auto,4732.22,Four-Door Car,61.0,292.8
985,LP76290,M,62588.0,Oregon,Special Auto,8246.83,Four-Door Car,104.0,499.2
986,UF93434,F,22050.0,Oregon,Personal Auto,2548.39,Four-Door Car,66.0,316.8
987,VW70435,M,25632.0,Oregon,Personal Auto,4929.55,Two-Door Car,63.0,351.27
988,AV96010,M,40097.0,Oregon,Personal Auto,3289.12,Two-Door Car,92.0,227.22
989,DX70966,F,50071.0,Nevada,Personal Auto,2771.05,Two-Door Car,71.0,18.92
990,VW65429,M,37308.0,Arizona,Personal Auto,6899.71,Four-Door Car,86.0,301.01
991,LY17372,M,44743.0,Arizona,Personal Auto,5112.31,SUV,137.0,741.3
992,BE61743,M,86657.0,Washington,Personal Auto,4109.79,Sports Car,103.0,316.23
993,GP56044,M,84306.0,Washington,Personal Auto,27440.61,SUV,137.0,863.41
994,DP50640,M,47346.0,California,Personal Auto,2548.84,Four-Door Car,65.0,312.0
995,MM45897,M,88545.0,Nevada,Personal Auto,2714.65,Four-Door Car,68.0,374.11
996,OZ86942,F,52443.0,California,Corporate Auto,5790.46,Four-Door Car,73.0,350.4
997,WI65397,F,36084.0,Oregon,Corporate Auto,7627.31,Two-Door Car,99.0,152.78
998,OQ69520,F,35406.0,Arizona,Corporate Auto,7903.99,Four-Door Car,69.0,67.5
999,KF98735,M,41185.0,California,Special Auto,3673.99,Four-Door Car,99.0,363.61
1000,BH28530,M,51204.0,California,Personal Auto,21592.1,Sports Car,181.0,929.55
1001,DW62043,F,30216.0,Oregon,Corporate Auto,2452.06,Four-Door Car,63.0,302.4
1002,AF41118,M,10710.0,California,Personal Auto,7255.71,Two-Door Car,94.0,451.2
1003,WY58555,M,25632.0,Oregon,Personal Auto,4929.55,Two-Door Car,63.0,351.27
1004,DN30013,F,53295.0,Oregon,Personal Auto,5568.89,Four-Door Car,70.0,250.42
1005,MR56401,F,37072.0,Oregon,Personal Auto,2542.85,Four-Door Car,64.0,307.2
1006,FM14335,F,61108.0,Washington,Personal Auto,10484.92,Four-Door Car,89.0,49.45
1007,FK54851,M,79880.0,California,Personal Auto,6310.4,Two-Door Car,79.0,568.8
1008,YF38355,M,81580.0,Washington,Personal Auto,8106.22,SUV,101.0,633.44
1009,MT53449,F,19614.0,Arizona,Personal Auto,16301.97,Two-Door Car,85.0,574.02
1010,DV22542,M,58620.0,California,Personal Auto,2722.41,Two-Door Car,68.0,292.14
1011,OG17756,F,12902.0,Arizona,Personal Auto,4904.89,Sports Car,139.0,667.2
1012,DO51363,F,26318.0,Oregon,Personal Auto,3785.75,Two-Door Car,96.0,679.39
1013,BJ26599,M,20263.0,Oregon,Personal Auto,4200.82,Four-Door Car,63.0,373.45
1014,IO63361,M,52819.0,Arizona,Personal Auto,4880.71,SUV,124.0,282.5
1015,SD30853,F,63918.0,Oregon,Personal Auto,12687.15,Four-Door Car,64.0,307.2
1016,MO63575,F,23904.0,Oregon,Corporate Auto,4334.06,SUV,123.0,590.4
1017,YV93784,F,69736.0,Arizona,Personal Auto,8973.11,SUV,111.0,424.42
1018,UF32055,M,69700.0,California,Personal Auto,7109.3,SUV,181.0,645.92
1019,UQ16798,F,35482.0,Arizona,Personal Auto,10208.93,SUV,129.0,619.2
1020,LS59637,F,14030.0,Arizona,Corporate Auto,2719.51,Two-Door Car,72.0,345.6
1021,TX35617,F,50909.0,California,Personal Auto,4465.6,SUV,112.0,339.05
1022,EX89625,F,96406.0,Arizona,Personal Auto,5593.43,Two-Door Car,69.0,331.2
1023,FD11364,F,77001.0,Oregon,Special Auto,6769.0,Four-Door Car,85.0,408.0
1024,BG96711,M,24732.0,California,Corporate Auto,2576.38,Four-Door Car,67.0,321.6
1025,PW31239,F,40864.0,Oregon,Personal Auto,4282.95,SUV,109.0,166.94
1026,MD95935,F,43145.0,California,Corporate Auto,5845.43,Two-Door Car,73.0,516.42
1027,UL10037,F,61108.0,Oregon,Corporate Auto,10484.92,Four-Door Car,89.0,49.45
1028,RE67051,M,34236.0,California,Corporate Auto,5509.38,Four-Door Car,70.0,336.0
1029,SB44315,M,39010.0,Arizona,Personal Auto,3011.34,Four-Door Car,78.0,374.4
1030,OX21474,M,88867.0,California,Personal Auto,2698.36,Four-Door Car,69.0,331.2
1031,TJ51874,M,13908.0,Washington,Corporate Auto,8558.04,SUV,116.0,804.13
1032,DP13082,M,76358.0,California,Personal Auto,23594.68,Four-Door Car,66.0,86.46
1033,LP34743,F,13037.0,Oregon,Personal Auto,4726.87,SUV,124.0,839.35
1034,GO75708,F,17200.0,Arizona,Personal Auto,6054.49,Four-Door Car,83.0,48.78
1035,UD99460,M,67772.0,Washington,Personal Auto,9654.52,Four-Door Car,82.0,502.58
1036,MJ77630,M,39891.0,Oregon,Personal Auto,47155.63,SUV,133.0,630.89
1037,OO49507,F,52957.0,Washington,Personal Auto,4530.39,Sports Car,112.0,425.42
1038,PW69692,F,93272.0,Oregon,Personal Auto,3861.49,Four-Door Car,95.0,281.11
1039,DA61021,M,40467.0,California,Personal Auto,15167.04,Luxury SUV,197.0,518.78
1040,KJ72146,M,30895.0,Oregon,Personal Auto,7126.47,Four-Door Car,62.0,297.6
1041,CO23919,F,90607.0,Oregon,Special Auto,30718.81,SUV,109.0,243.47
1042,YD22081,F,45668.0,Arizona,Personal Auto,9701.03,Four-Door Car,80.0,344.77
1043,OK31456,F,51643.0,California,Corporate Auto,11009.13,Luxury Car,283.0,1358.4
1044,UO49439,M,90289.0,Oregon,Personal Auto,5633.53,Four-Door Car,71.0,22.19
1045,JK13254,M,29465.0,Oregon,Personal Auto,4237.37,SUV,118.0,566.4
1046,BL29240,M,81893.0,Oregon,Corporate Auto,2858.29,Four-Door Car,73.0,151.38
1047,IP81759,M,60613.0,Nevada,Personal Auto,9366.82,Luxury Car,240.0,1152.0
1048,DY18947,F,60423.0,Arizona,Personal Auto,9152.49,Four-Door Car,114.0,137.61
1049,PY98041,M,27166.0,Oregon,Personal Auto,5406.88,Four-Door Car,71.0,340.8
1050,PY42157,F,62006.0,Washington,Personal Auto,2472.25,Four-Door Car,61.0,292.8
1051,QX84402,F,13663.0,California,Corporate Auto,25464.82,Four-Door Car,97.0,465.6
1052,JH36501,M,97673.0,Arizona,Personal Auto,2507.88,Four-Door Car,63.0,178.76
1053,DG46291,F,96276.0,Nevada,Personal Auto,9500.08,Four-Door Car,117.0,553.5
1054,LY14355,F,73847.0,Washington,Personal Auto,2935.99,Two-Door Car,73.0,350.4
1055,AU94279,M,24976.0,California,Personal Auto,5493.02,Two-Door Car,72.0,566.2
1056,AG62140,F,33716.0,California,Personal Auto,5386.33,Four-Door Car,68.0,349.43
1057,YK66939,F,23480.0,Arizona,Personal Auto,4384.85,SUV,117.0,842.4
1058,BA75404,F,77221.0,Oregon,Personal Auto,5789.85,Four-Door Car,71.0,259.59
1059,TA22923,M,40463.0,Arizona,Personal Auto,4944.24,Four-Door Car,61.0,292.8
1060,OM55336,M,60920.0,Nevada,Personal Auto,7507.46,Two-Door Car,64.0,231.2
1061,MB60322,F,68931.0,Arizona,Special Auto,5332.46,Four-Door Car,66.0,309.58
1062,FS97588,F,88251.0,Oregon,Personal Auto,5475.34,Four-Door Car,68.0,267.21
1063,KR25511,M,26876.0,Washington,Corporate Auto,6005.21,Four-Door Car,76.0,364.8
1064,PE39479,M,88592.0,Washington,Corporate Auto,18321.42,Four-Door Car,76.0,199.8
1065,EV32492,M,49136.0,Arizona,Personal Auto,2496.17,Four-Door Car,64.0,307.2
1066,XX37955,M,67627.0,Nevada,Corporate Auto,14002.38,SUV,117.0,561.6
1067,MO68226,F,70263.0,California,Personal Auto,7462.93,Two-Door Car,93.0,7.35
1068,HY86417,F,74126.0,Arizona,Corporate Auto,3653.7,Two-Door Car,90.0,478.75
1069,WI14444,F,74286.0,California,Personal Auto,5638.54,Two-Door Car,70.0,277.59
1070,XC72555,F,97949.0,Oregon,Personal Auto,4475.05,SUV,112.0,324.81
1071,SZ37147,M,41005.0,California,Personal Auto,2719.85,Four-Door Car,70.0,336.0
1072,HF44881,M,29875.0,Arizona,Corporate Auto,4542.41,Sports Car,119.0,571.2
1073,GA98025,M,26121.0,Arizona,Personal Auto,12875.6,SUV,119.0,754.12
1074,LO57874,M,25905.0,Oregon,Corporate Auto,2300.69,Four-Door Car,63.0,302.4
1075,VJ83206,M,72117.0,California,Personal Auto,8364.56,Four-Door Car,70.0,106.74
1076,CV35709,F,81872.0,Oregon,Corporate Auto,14024.36,Four-Door Car,115.0,256.44
1077,VX67206,F,33806.0,Oregon,Corporate Auto,27789.69,Four-Door Car,89.0,395.73
1078,AY52869,M,10621.0,California,Personal Auto,4386.28,Four-Door Car,67.0,321.6
1079,HF62608,F,44213.0,Oregon,Personal Auto,6753.43,Four-Door Car,85.0,77.52
1080,VW13019,F,12902.0,Nevada,Corporate Auto,4904.89,Sports Car,139.0,667.2
1081,PY80506,M,78757.0,Oregon,Personal Auto,4764.86,Sports Car,119.0,383.8
1082,SF15712,M,51833.0,Oregon,Personal Auto,3903.8,Four-Door Car,99.0,190.51
1083,MX69639,F,30786.0,California,Personal Auto,10442.43,Four-Door Car,90.0,28.65
1084,EZ41764,M,76792.0,California,Personal Auto,2498.96,Four-Door Car,62.0,297.6
1085,BD58297,F,76356.0,California,Personal Auto,2862.56,Two-Door Car,71.0,340.8
1086,FM55990,M,66839.0,California,Personal Auto,5989.77,Sports Car,154.0,739.2
1087,LZ89104,M,59789.0,Oregon,Personal Auto,7143.04,Four-Door Car,90.0,527.54
1088,CI38330,M,72217.0,Washington,Personal Auto,2549.79,Four-Door Car,64.0,91.15
1089,NT15165,F,43324.0,California,Corporate Auto,12047.78,Two-Door Car,101.0,284.67
1090,RQ77476,M,87502.0,Oregon,Personal Auto,20461.15,Four-Door Car,102.0,421.11
1091,DX65548,F,38713.0,Arizona,Personal Auto,4834.71,Four-Door Car,66.0,316.8
1092,RI52095,M,51878.0,Washington,Personal Auto,7610.54,Four-Door Car,66.0,316.8
1093,EH86912,M,28617.0,California,Personal Auto,8420.43,SUV,112.0,797.6
1094,TJ90326,F,75037.0,California,Personal Auto,13530.03,Four-Door Car,85.0,180.56
1095,ES93923,F,24550.0,Oregon,Personal Auto,8798.31,Four-Door Car,111.0,536.0
1096,CV64725,M,55366.0,California,Personal Auto,6545.8,Four-Door Car,86.0,455.71
1097,RN56430,F,41449.0,Nevada,Personal Auto,5443.76,Two-Door Car,69.0,331.2
1098,PD32052,M,51125.0,California,Personal Auto,7957.63,Four-Door Car,67.0,430.29
1099,BN90616,F,63110.0,Washington,Personal Auto,8590.33,Four-Door Car,72.0,68.18
1100,BH36973,F,63401.0,Oregon,Personal Auto,2730.35,Four-Door Car,68.0,202.94
1101,QN76156,F,30752.0,Oregon,Personal Auto,2925.73,Four-Door Car,73.0,400.29
1102,ZJ15114,M,60986.0,California,Corporate Auto,5331.74,Four-Door Car,67.0,417.78
1103,CM84035,M,41692.0,Arizona,Corporate Auto,11320.83,Four-Door Car,101.0,245.97
1104,TZ22914,M,12940.0,Oregon,Personal Auto,5130.82,Two-Door Car,68.0,268.17
1105,WO89464,M,78618.0,Oregon,Personal Auto,2619.34,Two-Door Car,66.0,225.58
1106,MK56815,M,54538.0,California,Personal Auto,9591.23,Four-Door Car,119.0,507.8
1107,UK86050,F,76590.0,Arizona,Personal Auto,7887.96,Four-Door Car,65.0,183.29
1108,TQ24692,M,76214.0,Oregon,Special Auto,8676.7,Four-Door Car,72.0,202.81
1109,SU86402,F,25876.0,Arizona,Personal Auto,6568.76,Two-Door Car,83.0,398.4
1110,CI95726,F,82477.0,Nevada,Personal Auto,3644.83,Two-Door Car,90.0,432.0
1111,JE98863,F,58713.0,Arizona,Special Auto,3910.7,Four-Door Car,98.0,470.4
1112,DD89544,M,64929.0,Arizona,Corporate Auto,18704.85,Luxury SUV,240.0,1261.67
1113,VT52978,M,32857.0,Nevada,Corporate Auto,12547.43,Four-Door Car,105.0,504.0
1114,DU66620,M,19065.0,Nevada,Personal Auto,4582.69,Two-Door Car,61.0,292.8
1115,VS40267,M,25503.0,California,Personal Auto,30850.59,SUV,115.0,552.0
1116,WJ55369,M,30250.0,Arizona,Personal Auto,7366.09,Four-Door Car,93.0,398.1
1117,DV58197,F,62902.0,California,Personal Auto,8256.3,Two-Door Car,69.0,159.38
1118,ET90029,F,14278.0,Arizona,Personal Auto,25626.71,Sports Car,134.0,346.32
1119,SD21312,M,66839.0,Nevada,Personal Auto,5989.77,Sports Car,154.0,739.2
1120,FG31425,F,37811.0,Arizona,Special Auto,2530.81,Four-Door Car,63.0,365.0
1121,FA15338,M,20978.0,Arizona,Personal Auto,13569.24,Two-Door Car,70.0,336.0
1122,HD53787,F,28519.0,California,Personal Auto,13113.14,Two-Door Car,86.0,412.8
1123,QN36109,F,85140.0,Nevada,Personal Auto,4554.56,SUV,118.0,88.18
1124,UL80763,F,37384.0,Oregon,Personal Auto,4014.45,Four-Door Car,99.0,475.2
1125,XQ39498,M,57659.0,Oregon,Personal Auto,30909.22,Four-Door Car,111.0,756.37
1126,FQ51281,F,95241.0,Oregon,Personal Auto,8170.62,Four-Door Car,68.0,87.8
1127,NA45983,M,38870.0,Arizona,Special Auto,2877.81,Four-Door Car,74.0,145.37
1128,LC23144,F,13870.0,California,Personal Auto,8478.3,SUV,109.0,550.43
1129,SG54382,M,25964.0,Arizona,Corporate Auto,8646.55,Four-Door Car,76.0,364.8
1130,XH54129,F,72193.0,California,Personal Auto,4755.76,Four-Door Car,118.0,552.65
1131,QD28391,M,84302.0,Washington,Personal Auto,7425.85,Four-Door Car,62.0,76.61
1132,YM53951,M,39482.0,Oregon,Corporate Auto,6006.44,Four-Door Car,77.0,277.91
1133,JO77924,M,66371.0,Oregon,Personal Auto,10010.14,SUV,125.0,43.1
1134,EZ20115,M,35300.0,California,Personal Auto,26305.42,Four-Door Car,74.0,225.52
1135,DD88614,F,67735.0,California,Corporate Auto,7096.6,Four-Door Car,88.0,3.46
1136,BO21461,M,98879.0,California,Personal Auto,2859.8,Four-Door Car,73.0,108.67
1137,UB87714,M,72885.0,Oregon,Personal Auto,9667.13,SUV,124.0,233.68
1138,VW84197,F,26378.0,Oregon,Personal Auto,21941.86,Four-Door Car,70.0,147.8
1139,HP56518,M,67798.0,Oregon,Personal Auto,5548.03,Four-Door Car,69.0,331.2
1140,SP81997,F,41275.0,Washington,Personal Auto,7752.93,Four-Door Car,96.0,41.12
1141,VH66357,M,39646.0,California,Personal Auto,2769.73,Four-Door Car,70.0,279.71
1142,IM30965,M,71868.0,Oregon,Corporate Auto,2545.07,Four-Door Car,65.0,312.0
1143,TQ37204,F,59107.0,Oregon,Personal Auto,8629.33,SUV,107.0,480.52
1144,BI27443,F,36428.0,Arizona,Personal Auto,4896.56,SUV,124.0,559.41
1145,WL86517,F,93284.0,Nevada,Personal Auto,4013.96,Two-Door Car,99.0,475.2
1146,HW40931,F,34612.0,Oregon,Special Auto,10834.87,Four-Door Car,91.0,655.2
1147,NN44758,F,76157.0,Arizona,Personal Auto,4669.23,Two-Door Car,116.0,556.8
1148,GC34791,M,17109.0,Nevada,Personal Auto,9259.73,Two-Door Car,62.0,297.6
1149,SY22123,F,29539.0,California,Personal Auto,6300.44,Four-Door Car,85.0,408.0
1150,DY17416,M,49539.0,Oregon,Personal Auto,6031.52,Two-Door Car,79.0,286.94
1151,AT24793,M,25352.0,Oregon,Special Auto,6863.12,Sports Car,173.0,830.4
1152,SL71998,M,63223.0,Oregon,Personal Auto,2797.76,Two-Door Car,71.0,397.62
1153,AP66226,M,18505.0,Nevada,Personal Auto,4479.49,Four-Door Car,66.0,316.8
1154,HI91534,F,91485.0,California,Personal Auto,4571.51,SUV,114.0,392.93
1155,TK61994,F,18690.0,Oregon,Personal Auto,6104.5,Four-Door Car,80.0,18.19
1156,WX30852,F,69819.0,Arizona,Personal Auto,2639.98,Four-Door Car,66.0,21.01
1157,SK69036,M,25708.0,California,Personal Auto,13780.49,Four-Door Car,118.0,566.4
1158,YI79084,M,33738.0,Nevada,Personal Auto,3702.63,Two-Door Car,95.0,541.76
1159,KF46546,F,75845.0,Arizona,Personal Auto,5789.35,Four-Door Car,72.0,73.85
1160,GA71186,M,83392.0,Nevada,Personal Auto,13464.6,SUV,112.0,523.69
1161,CF15086,M,76375.0,California,Personal Auto,3838.11,Four-Door Car,96.0,138.42
1162,VP55618,M,32330.0,California,Corporate Auto,6052.0,Four-Door Car,79.0,379.2
1163,ZL23478,F,85689.0,California,Corporate Auto,33451.79,Four-Door Car,92.0,237.95
1164,SF11920,F,39507.0,Arizona,Corporate Auto,5607.25,Two-Door Car,70.0,283.74
1165,DY57308,F,22373.0,California,Personal Auto,8835.16,SUV,112.0,419.75
1166,HP73832,F,20217.0,California,Personal Auto,3796.55,Four-Door Car,96.0,513.31
1167,WP58797,M,19245.0,Oregon,Personal Auto,3936.79,SUV,106.0,508.8
1168,ZM33786,F,17774.0,Arizona,Personal Auto,37150.83,SUV,108.0,116.26
1169,LY19199,M,80355.0,Oregon,Corporate Auto,4815.53,Two-Door Car,62.0,83.39
1170,IX60436,M,65099.0,Arizona,Special Auto,2853.37,Four-Door Car,73.0,350.4
1171,QA49556,M,23401.0,Washington,Personal Auto,5200.23,Four-Door Car,66.0,316.8
1172,GV62858,F,38692.0,California,Personal Auto,4091.93,Four-Door Car,102.0,502.44
1173,DN66715,F,97131.0,California,Personal Auto,5181.62,Four-Door Car,64.0,307.2
1174,LU30834,F,78046.0,Oregon,Personal Auto,14230.32,SUV,119.0,759.12
1175,HN35280,M,82225.0,Arizona,Personal Auto,2446.66,Two-Door Car,61.0,292.8
1176,KD16729,M,21144.0,Nevada,Personal Auto,6645.93,Two-Door Car,86.0,391.45
1177,WO17738,F,36645.0,Oregon,Corporate Auto,8717.85,Four-Door Car,112.0,614.08
1178,VB22338,M,31842.0,Nevada,Special Auto,4110.62,SUV,108.0,406.35
1179,AE60813,F,75090.0,Oregon,Personal Auto,4993.03,Four-Door Car,63.0,101.34
1180,XQ80738,F,72014.0,Oregon,Personal Auto,2895.21,Four-Door Car,72.0,188.2
1181,KX82226,M,13512.0,Arizona,Personal Auto,3185.17,Two-Door Car,92.0,441.6
1182,MA43940,M,75909.0,Oregon,Special Auto,9343.2,Sports Car,117.0,561.6
1183,JL93248,F,18884.0,Oregon,Personal Auto,7296.54,Four-Door Car,64.0,307.2
1184,AM89558,M,26802.0,Nevada,Corporate Auto,4636.55,Two-Door Car,66.0,316.8
1185,EL41362,F,99839.0,California,Personal Auto,5329.13,Four-Door Car,66.0,468.2
1186,XK91603,F,24186.0,California,Personal Auto,2478.24,Four-Door Car,64.0,307.2
1187,MG77033,M,46971.0,California,Corporate Auto,5522.77,Four-Door Car,69.0,120.11
1188,YW85018,M,26790.0,Nevada,Personal Auto,2810.46,Two-Door Car,71.0,340.8
1189,JT69863,M,16258.0,Arizona,Personal Auto,2410.11,Two-Door Car,64.0,307.2
1190,OE15600,M,91169.0,California,Personal Auto,2544.97,Two-Door Car,65.0,139.75
1191,XL44677,M,25905.0,California,Personal Auto,2300.69,Four-Door Car,63.0,302.4
1192,No73821,M,44577.0,Oregon,Personal Auto,10145.44,SUV,131.0,640.49
1193,VJ24328,M,53021.0,Oregon,Personal Auto,2599.04,Four-Door Car,68.0,326.4
1194,XW63353,M,56980.0,Oregon,Personal Auto,6689.02,Two-Door Car,84.0,599.0
1195,JZ31045,F,97719.0,California,Personal Auto,2721.59,Four-Door Car,67.0,318.66
1196,UM27359,M,49530.0,Arizona,Personal Auto,7524.88,Four-Door Car,63.0,278.24
1197,ND71187,M,56233.0,Arizona,Corporate Auto,9487.72,Four-Door Car,79.0,558.75
1198,YR63096,F,79140.0,Nevada,Corporate Auto,5977.79,Four-Door Car,74.0,487.93
1199,SN21895,F,13088.0,Arizona,Personal Auto,6411.12,Four-Door Car,82.0,393.6
1200,FY90924,F,73601.0,Arizona,Personal Auto,2944.18,Four-Door Car,73.0,339.94
1201,CN30964,F,31517.0,California,Personal Auto,6685.8,Two-Door Car,84.0,604.8
1202,RL28918,M,42148.0,California,Personal Auto,16504.96,SUV,104.0,366.98
1203,HK93338,F,23769.0,Washington,Personal Auto,7931.72,Four-Door Car,69.0,470.1
1204,SQ35375,F,22241.0,Oregon,Personal Auto,5054.33,Four-Door Car,63.0,343.16
1205,UD77728,F,23550.0,Arizona,Personal Auto,5657.81,Four-Door Car,72.0,222.75
1206,AQ70619,M,71024.0,California,Corporate Auto,13046.65,Four-Door Car,65.0,266.64
1207,IP65887,F,71644.0,Oregon,Corporate Auto,38410.6,SUV,105.0,504.0
1208,KS98084,F,50363.0,California,Personal Auto,5069.07,Four-Door Car,63.0,12.74
1209,QU55718,F,92914.0,California,Personal Auto,10978.78,Sports Car,136.0,979.2
1210,TS31417,M,16645.0,Washington,Personal Auto,39769.56,SUV,117.0,696.96
1211,SA40041,F,22814.0,Washington,Personal Auto,5749.88,Four-Door Car,73.0,360.77
1212,MC36247,M,22828.0,Oregon,Personal Auto,16473.17,SUV,106.0,508.8
1213,FO13070,M,51066.0,California,Personal Auto,5780.18,Four-Door Car,74.0,787.99
1214,VL97142,M,68507.0,Oregon,Personal Auto,26200.83,SUV,110.0,140.2
1215,KJ19260,M,37929.0,Arizona,Corporate Auto,4682.25,Four-Door Car,61.0,120.44
1216,GN93462,M,89285.0,California,Personal Auto,6496.2,Four-Door Car,81.0,109.03
1217,QB86817,F,98235.0,Oregon,Personal Auto,7446.81,Four-Door Car,93.0,377.42
1218,AZ68072,F,23650.0,Oregon,Personal Auto,4549.34,Four-Door Car,61.0,14.1
1219,MZ43298,F,90167.0,California,Corporate Auto,5200.08,SUV,131.0,523.73
1220,KS12490,M,64669.0,Oregon,Personal Auto,10594.13,Sports Car,131.0,628.8
1221,TL18087,M,65083.0,Washington,Personal Auto,3059.28,Four-Door Car,77.0,369.6
1222,EF13716,M,60462.0,Oregon,Personal Auto,2697.33,Four-Door Car,68.0,216.93
1223,RJ40995,M,36631.0,Arizona,Personal Auto,2491.32,Four-Door Car,62.0,67.53
1224,GB47529,F,40308.0,Oregon,Corporate Auto,5396.37,Sports Car,136.0,652.8
1225,DR68556,M,85067.0,Oregon,Personal Auto,7857.36,Four-Door Car,65.0,256.24
1226,XY33610,M,97750.0,Washington,Personal Auto,15695.54,Four-Door Car,65.0,303.0
1227,LO17953,F,38704.0,Oregon,Personal Auto,5219.2,Four-Door Car,65.0,9.72
1228,LZ35469,F,76731.0,California,Personal Auto,2582.41,Four-Door Car,64.0,201.46
1229,BM27144,F,57446.0,California,Personal Auto,7653.28,Four-Door Car,64.0,77.45
1230,FQ70521,F,96768.0,California,Personal Auto,8927.13,Four-Door Car,111.0,2.55
1231,OC88207,M,77265.0,California,Special Auto,5577.24,Two-Door Car,69.0,170.69
1232,IL47644,F,48736.0,Oregon,Personal Auto,8860.65,SUV,111.0,285.85
1233,HU94030,F,46667.0,Arizona,Corporate Auto,10103.66,SUV,129.0,59.53
1234,GP39118,M,71600.0,Washington,Personal Auto,4996.55,Two-Door Car,63.0,46.16
1235,QL80658,M,84229.0,Arizona,Personal Auto,3934.71,Four-Door Car,98.0,470.4
1236,HQ41200,F,26118.0,Oregon,Personal Auto,7974.95,Four-Door Car,101.0,484.8
1237,IN41344,M,24049.0,Washington,Personal Auto,2907.36,Four-Door Car,74.0,491.45
1238,QJ22615,F,37998.0,Arizona,Special Auto,4881.3,Four-Door Car,61.0,292.8
1239,ME87834,M,62396.0,Oregon,Personal Auto,4219.02,SUV,107.0,693.41
1240,DB91647,M,99239.0,California,Personal Auto,5816.71,Four-Door Car,74.0,379.38
1241,UM44109,M,94303.0,Oregon,Personal Auto,7908.45,Four-Door Car,65.0,149.69
1242,RT22532,M,18375.0,Arizona,Personal Auto,3954.34,Sports Car,103.0,535.08
1243,DU60004,F,76769.0,Nevada,Corporate Auto,3560.63,Four-Door Car,88.0,170.11
1244,XR17548,M,78735.0,Oregon,Personal Auto,5064.13,Four-Door Car,63.0,225.56
1245,VD19899,F,50494.0,California,Personal Auto,27542.37,Two-Door Car,114.0,491.32
1246,SP93911,F,86721.0,California,Corporate Auto,8828.93,Two-Door Car,110.0,372.59
1247,GH49378,F,67371.0,California,Personal Auto,5059.33,Four-Door Car,63.0,86.6
1248,MZ30958,M,21835.0,Nevada,Corporate Auto,6715.59,Two-Door Car,90.0,432.0
1249,FU55433,M,62452.0,Arizona,Corporate Auto,2671.82,Two-Door Car,67.0,407.78
1250,XI58886,M,69809.0,California,Personal Auto,2795.55,Two-Door Car,70.0,111.82
1251,PU34934,F,22601.0,Arizona,Personal Auto,10394.36,Four-Door Car,88.0,633.6
1252,WX87964,M,29560.0,Washington,Personal Auto,4935.19,Four-Door Car,62.0,297.6
1253,RC44077,M,26790.0,California,Personal Auto,2810.46,Two-Door Car,71.0,340.8
1254,ZQ48144,F,34986.0,California,Corporate Auto,3636.94,Four-Door Car,91.0,73.84
1255,MA83261,M,66378.0,Arizona,Corporate Auto,2785.42,Two-Door Car,71.0,158.0
1256,ER63193,F,48784.0,California,Corporate Auto,7715.1,Four-Door Car,96.0,252.08
1257,XZ34917,M,41043.0,Washington,Personal Auto,5643.8,Four-Door Car,72.0,345.6
1258,WH36754,F,32775.0,Oregon,Personal Auto,19088.34,Four-Door Car,61.0,251.89
1259,ZG90341,M,61200.0,Oregon,Personal Auto,9156.27,Four-Door Car,118.0,566.4
1260,KR82385,M,66334.0,California,Personal Auto,5454.59,Two-Door Car,69.0,331.2
1261,MC48570,F,18661.0,Arizona,Personal Auto,2470.44,Two-Door Car,62.0,196.88
1262,JE84351,M,53133.0,Oregon,Personal Auto,6938.87,Two-Door Car,91.0,652.39
1263,BU72276,F,25134.0,California,Personal Auto,5318.9,Four-Door Car,67.0,321.6
1264,DB17162,M,64324.0,Arizona,Personal Auto,5363.41,Four-Door Car,67.0,321.6
1265,TG97744,F,25820.0,Oregon,Corporate Auto,3265.16,Four-Door Car,82.0,393.6
1266,QT26393,M,29152.0,California,Personal Auto,2446.91,Two-Door Car,67.0,255.08
1267,HF11584,M,62448.0,Arizona,Personal Auto,12913.5,SUV,107.0,513.6
1268,YU79270,M,27132.0,Arizona,Personal Auto,4633.34,Four-Door Car,63.0,302.4
1269,HU81007,F,21706.0,Oregon,Personal Auto,8196.08,SUV,108.0,518.4
1270,MM62953,M,66620.0,Arizona,Personal Auto,5619.85,Four-Door Car,70.0,336.0
1271,DA74095,F,42800.0,Arizona,Personal Auto,6102.31,Sports Car,153.0,734.4
1272,QD46343,F,66676.0,Arizona,Personal Auto,3919.37,Four-Door Car,97.0,558.1
1273,WY26014,F,37433.0,California,Personal Auto,10820.0,Four-Door Car,90.0,410.39
1274,RY32848,M,44930.0,Oregon,Personal Auto,15839.09,SUV,132.0,111.05
1275,JG83987,F,30857.0,Arizona,Personal Auto,6451.26,Two-Door Car,81.0,309.16
1276,MQ48266,F,46507.0,Arizona,Personal Auto,5564.96,Two-Door Car,73.0,325.57
1277,EA68909,M,48473.0,California,Personal Auto,2444.9,Four-Door Car,63.0,302.4
1278,KP51068,M,59961.0,Oregon,Personal Auto,2640.59,Four-Door Car,68.0,291.92
1279,CM78608,F,88359.0,California,Personal Auto,5823.16,Two-Door Car,73.0,35.92
1280,TZ11597,M,97607.0,California,Personal Auto,5755.54,Two-Door Car,71.0,60.02
